"","ensembl_id","gene_name"
"297","ENSMUSG00000073658","Crygb"
"298","ENSMUSG00000044429","Cryga"
"299","ENSMUSG00000100846","Gm28845"
"300","ENSMUSG00000044816","D630023F18Rik"
"301","ENSMUSG00000025950","Idh1"
"302","ENSMUSG00000025949","Pikfyve"
"303","ENSMUSG00000025946","Pth2r"
"304","ENSMUSG00000025945","Crygf"
"305","ENSMUSG00000015222","Map2"
"306","ENSMUSG00000055567","Unc80"
"307","ENSMUSG00000026005","Rpe"
"308","ENSMUSG00000026004","Kansl1l"
"309","ENSMUSG00000026003","Acadl"
"310","ENSMUSG00000061816","Myl1"
"311","ENSMUSG00000026000","Lancl1"
"312","ENSMUSG00000025991","Cps1"
"313","ENSMUSG00000062209","Erbb4"
"314","ENSMUSG00000025997","Ikzf2"
"315","ENSMUSG00000053153","Spag16"
"316","ENSMUSG00000045648","Vwc2l"
"317","ENSMUSG00000026196","Bard1"
"318","ENSMUSG00000050296","Abca12"
"319","ENSMUSG00000026192","Atic"
"320","ENSMUSG00000026193","Fn1"
"321","ENSMUSG00000039395","Mreg"
"322","ENSMUSG00000026189","Pecr"
"323","ENSMUSG00000026188","Tmem169"
"324","ENSMUSG00000026187","Xrcc5"
"325","ENSMUSG00000039372","March4"
"326","ENSMUSG00000039354","Smarcal1"
"327","ENSMUSG00000039342","Ankar"
"328","ENSMUSG00000046330","Rpl37a"
"329","ENSMUSG00000039323","Igfbp2"
"330","ENSMUSG00000026185","Igfbp5"
"331","ENSMUSG00000026182","Tnp1"
"332","ENSMUSG00000055322","Tns1"
"333","ENSMUSG00000061815","Rufy4"
"334","ENSMUSG00000026180","Cxcr2"
"335","ENSMUSG00000048480","Cxcr1"
"336","ENSMUSG00000006304","Arpc2"
"337","ENSMUSG00000064272","Gpbar1"
"338","ENSMUSG00000006299","Aamp"
"339","ENSMUSG00000026179","Pnkd"
"340","ENSMUSG00000006301","Tmbim1"
"341","ENSMUSG00000073650","Catip"
"342","ENSMUSG00000026177","Slc11a1"
"343","ENSMUSG00000026176","Ctdsp1"
"344","ENSMUSG00000026175","Vil1"
"345","ENSMUSG00000033364","Usp37"
"346","ENSMUSG00000026174","Rqcd1"
"347","ENSMUSG00000026173","Plcd4"
"348","ENSMUSG00000026135","Zfp142"
"349","ENSMUSG00000026172","Bcs1l"
"350","ENSMUSG00000026171","Rnf25"
"351","ENSMUSG00000033276","Stk36"
"352","ENSMUSG00000033257","Ttll4"
"353","ENSMUSG00000026170","Cyp27a1"
"354","ENSMUSG00000006542","Prkag3"
"355","ENSMUSG00000033227","Wnt6"
"356","ENSMUSG00000026167","Wnt10a"
"357","ENSMUSG00000090071","Cdk5r2"
"358","ENSMUSG00000055197","Fev"
"359","ENSMUSG00000006546","Cryba2"
"360","ENSMUSG00000047021","Ccdc108"
"361","ENSMUSG00000006538","Ihh"
"362","ENSMUSG00000026162","Nhej1"
"363","ENSMUSG00000026205","Slc23a3"
"364","ENSMUSG00000033159","Cnppd1"
"365","ENSMUSG00000049339","Fam134a"
"366","ENSMUSG00000026197","Zfand2b"
"367","ENSMUSG00000026198","Abcb6"
"368","ENSMUSG00000033124","Atg9a"
"369","ENSMUSG00000026199","Ankzf1"
"370","ENSMUSG00000026200","Glb1l"
"371","ENSMUSG00000026201","Stk16"
"372","ENSMUSG00000026202","Tuba4a"
"373","ENSMUSG00000096094","A630095N17Rik"
"374","ENSMUSG00000026203","Dnajb2"
"375","ENSMUSG00000026204","Ptprn"
"376","ENSMUSG00000033061","Resp18"
"377","ENSMUSG00000026209","Dnpep"
"378","ENSMUSG00000026208","Des"
"379","ENSMUSG00000026207","Speg"
"380","ENSMUSG00000033021","Gmppa"
"381","ENSMUSG00000033007","Asic4"
"382","ENSMUSG00000032997","Chpf"
"383","ENSMUSG00000026211","Obsl1"
"384","ENSMUSG00000051703","Tmem198"
"385","ENSMUSG00000032968","Inha"
"386","ENSMUSG00000026213","Stk11ip"
"387","ENSMUSG00000006576","Slc4a3"
"388","ENSMUSG00000026235","Epha4"
"389","ENSMUSG00000004872","Pax3"
"390","ENSMUSG00000032908","Sgpp2"
